x,y,% Fe/Mg,% Al-OH,% H2O,flag
0,0,0.0,0.0,0.0,false
0,1,0.0,0.0,0.0,false
0,2,0.0,0.0,0.0,false
0,3,0.0,0.0,0.0,false
0,4,0.0,0.0,0.0,false
0,5,0.0,0.0,0.0,false
0,6,0.0,0.0,0.0,false
0,7,0.0,0.0,0.0,false
0,8,0.0,0.0,0.0,false
0,9,0.0,0.0,0.0,false
0,10,0.0,0.0,0.0,false
0,11,0.0,0.0,0.0,false
0,12,0.0,0.0,0.0,false
0,13,0.0,0.0,0.0,false
0,14,0.0,0.0,0.0,false
0,15,0.0,0.0,0.0,false
0,16,0.0,0.0,0.0,false
0,17,0.0,0.0,0.0,false
0,18,0.0,0.0,0.0,false
0,19,0.0,0.0,0.0,false
0,20,0.0,0.0,0.0,false
0,21,0.0,0.0,0.0,false
0,22,0.0,0.0,0.0,false
0,23,0.0,0.0,0.0,false
0,24,0.0,0.0,0.0,false
0,25,0.0,0.0,0.0,false
0,26,0.0,0.0,0.0,false
0,27,0.0,0.0,0.0,false
0,28,0.0,0.0,0.0,false
0,29,0.0,0.0,0.0,false
0,30,0.0,0.0,0.0,false
0,31,0.0,0.0,0.0,false
0,32,0.0,0.0,0.0,false
0,33,0.0,0.0,0.0,false
0,34,0.0,0.0,0.0,false
0,35,0.0,0.0,0.0,false
0,36,0.0,0.0,0.0,false
0,37,0.0,0.0,0.0,false
0,38,0.0,0.0,0.0,false
0,39,0.0,0.0,0.0,false
0,40,0.0,0.0,0.0,false
0,41,0.0,0.0,0.0,false
0,42,0.0,0.0,0.0,false
0,43,0.0,0.0,0.0,false
0,44,0.0,0.0,0.0,false
0,45,0.0,0.0,0.0,false
0,46,0.0,0.0,0.0,false
0,47,0.0,0.0,0.0,false
0,48,38.27791437679851,0.0,21.87728054992342,false
0,49,29.67172704609472,13.627259368860642,16.43876210655855,false
0,50,38.87314601285731,3.221449436787756,23.432803089466145,false
0,51,38.89810739988348,11.425835309476296,25.28930134399696,false
0,52,33.16076923105707,7.396282899647828,20.390223463696344,false
0,53,33.301220298444015,13.15568979217297,18.593050361552425,false
0,54,26.595768531951137,16.475863885826485,13.686487003461318,false
0,55,0.0,0.0,0.0,false
0,56,0.0,0.0,0.0,false
0,57,0.0,0.0,0.0,false
0,58,0.0,0.0,0.0,false
0,59,0.0,0.0,0.0,false
0,60,0.0,0.0,0.0,false
0,61,0.0,0.0,0.0,false
0,62,0.0,0.0,0.0,false
0,63,0.0,0.0,0.0,false
0,64,0.0,0.0,0.0,false
0,65,0.0,0.0,0.0,false
0,66,0.0,0.0,0.0,false
0,67,0.0,0.0,0.0,false
0,68,37.07679769071778,12.674013339457195,17.230186157709085,false
0,69,34.11244199011074,13.214551811290915,15.606503108952946,false
0,70,35.43393773254939,15.773019251933674,14.203772169035126,false
0,71,0.0,0.0,0.0,false
0,72,0.0,0.0,0.0,false
0,73,0.0,0.0,0.0,false
0,74,0.0,0.0,0.0,false
0,75,0.0,0.0,0.0,false
0,76,0.0,0.0,0.0,false
0,77,0.0,0.0,0.0,false
0,78,0.0,0.0,0.0,false
0,79,0.0,0.0,0.0,false
0,80,0.0,0.0,0.0,false
0,81,0.0,0.0,0.0,false
0,82,0.0,0.0,0.0,false
0,83,0.0,0.0,0.0,false
0,84,0.0,0.0,0.0,false
0,85,0.0,0.0,0.0,false
0,86,0.0,0.0,0.0,false
0,87,0.0,0.0,0.0,false
0,88,0.0,0.0,0.0,false
0,89,0.0,0.0,0.0,false
0,90,0.0,0.0,0.0,false
0,91,0.0,0.0,0.0,false
0,92,0.0,0.0,0.0,false
0,93,0.0,0.0,0.0,false
0,94,0.0,0.0,0.0,false
0,95,0.0,0.0,0.0,false
0,96,0.0,0.0,0.0,false
0,97,0.0,0.0,0.0,false
0,98,0.0,0.0,0.0,false
0,99,0.0,0.0,0.0,false
1,0,0.0,0.0,0.0,false
1,1,0.0,0.0,0.0,false
1,2,0.0,0.0,0.0,false
1,3,0.0,0.0,0.0,false
1,4,0.0,0.0,0.0,false
1,5,0.0,0.0,0.0,false
1,6,0.0,0.0,0.0,false
1,7,0.0,0.0,0.0,false
1,8,0.0,0.0,0.0,false
1,9,0.0,0.0,0.0,false
1,10,0.0,0.0,0.0,false
1,11,0.0,0.0,0.0,false
1,12,0.0,0.0,0.0,false
1,13,48.81082143637144,47.38518207961274,59.18488756187455,true
1,14,0.0,0.0,0.0,false
1,15,0.0,0.0,0.0,false
1,16,0.0,0.0,0.0,false
1,17,0.0,0.0,0.0,false
1,18,0.0,0.0,0.0,false
1,19,0.0,0.0,0.0,false
1,20,0.0,0.0,0.0,false
1,21,0.0,0.0,0.0,false
1,22,0.0,0.0,0.0,false
1,23,0.0,0.0,0.0,false
1,24,0.0,0.0,0.0,false
1,25,0.0,0.0,0.0,false
1,26,0.0,0.0,0.0,false
1,27,0.0,0.0,0.0,false
1,28,0.0,0.0,0.0,false
1,29,0.0,0.0,0.0,false
1,30,0.0,0.0,0.0,false
1,31,0.0,0.0,0.0,false
1,32,0.0,0.0,0.0,false
1,33,0.0,0.0,0.0,false
1,34,0.0,0.0,0.0,false
1,35,0.0,0.0,0.0,false
1,36,0.0,0.0,0.0,false
1,37,0.0,0.0,0.0,false
1,38,0.0,0.0,0.0,false
1,39,0.0,0.0,0.0,false
1,40,0.0,0.0,0.0,false
1,41,0.0,0.0,0.0,false
1,42,0.0,0.0,0.0,false
1,43,0.0,0.0,0.0,false
1,44,0.0,0.0,0.0,false
1,45,0.0,0.0,0.0,false
1,46,0.0,0.0,0.0,false
1,47,0.0,0.0,0.0,false
1,48,0.0,0.0,0.0,false
1,49,0.0,0.0,0.0,false
1,50,0.0,0.0,0.0,false
1,51,0.0,0.0,0.0,false
1,52,0.0,0.0,0.0,false
1,53,0.0,0.0,0.0,false
1,54,0.0,0.0,0.0,false
1,55,0.0,0.0,0.0,false
1,56,0.0,0.0,0.0,false
1,57,0.0,0.0,0.0,false
1,58,0.0,0.0,0.0,false
1,59,0.0,0.0,0.0,false
1,60,0.0,0.0,0.0,false
1,61,0.0,0.0,0.0,false
1,62,0.0,0.0,0.0,false
1,63,0.0,0.0,0.0,false
1,64,0.0,0.0,0.0,false
1,65,0.0,0.0,0.0,false
1,66,0.0,0.0,0.0,false
1,67,0.0,0.0,0.0,false
1,68,0.0,0.0,0.0,false
1,69,0.0,0.0,0.0,false
1,70,0.0,0.0,0.0,false
1,71,0.0,0.0,0.0,false
1,72,0.0,0.0,0.0,false
1,73,0.0,0.0,0.0,false
1,74,0.0,0.0,0.0,false
1,75,0.0,0.0,0.0,false
1,76,0.0,0.0,0.0,false
1,77,0.0,0.0,0.0,false
1,78,0.0,0.0,0.0,false
1,79,0.0,0.0,0.0,false
1,80,0.0,0.0,0.0,false
1,81,0.0,0.0,0.0,false
1,82,0.0,0.0,0.0,false
1,83,0.0,0.0,0.0,false
1,84,0.0,0.0,0.0,false
1,85,0.0,0.0,0.0,false
1,86,0.0,0.0,0.0,false
1,87,0.0,0.0,0.0,false
1,88,0.0,0.0,0.0,false
1,89,0.0,0.0,0.0,false
1,90,0.0,0.0,0.0,false
1,91,0.0,0.0,0.0,false
1,92,0.0,0.0,0.0,false
1,93,0.0,0.0,0.0,false
1,94,0.0,0.0,0.0,false
1,95,0.0,0.0,0.0,false
1,96,0.0,0.0,0.0,false
1,97,0.0,0.0,0.0,false
1,98,0.0,0.0,0.0,false
1,99,0.0,0.0,0.0,false
2,0,0.0,0.0,0.0,false
2,1,0.0,0.0,0.0,false
2,2,0.0,0.0,0.0,false
2,3,0.0,0.0,0.0,false
2,4,0.0,0.0,0.0,false
2,5,0.0,0.0,0.0,false
2,6,0.0,0.0,0.0,false
2,7,0.0,0.0,0.0,false
2,8,0.0,0.0,0.0,false
2,9,0.0,0.0,0.0,false
2,10,0.0,0.0,0.0,false
2,11,0.0,0.0,0.0,false
2,12,0.0,0.0,0.0,false
2,13,46.14352650983494,46.78321025073112,53.90866057541457,true
2,14,43.58746800545765,50.18387412142581,52.319237199473015,true
2,15,42.916048790484375,50.62006687208176,54.12551008046263,true
2,16,45.81877902053576,47.44932845117065,53.61862613139713,true
2,17,47.19733047554296,45.932969534861805,52.78312248740459,true
2,18,40.54733633156855,49.679043667629095,53.02738055348771,true
2,19,48.99499001107968,49.32167277427656,44.68051435284777,true
2,20,0.0,0.0,0.0,false
2,21,0.0,0.0,0.0,false
2,22,0.0,0.0,0.0,false
2,23,0.0,0.0,0.0,false
2,24,0.0,0.0,0.0,false
2,25,0.0,0.0,0.0,false
2,26,0.0,0.0,0.0,false
2,27,0.0,0.0,0.0,false
2,28,0.0,0.0,0.0,false
2,29,0.0,0.0,0.0,false
2,30,0.0,0.0,0.0,false
2,31,0.0,0.0,0.0,false
2,32,0.0,0.0,0.0,false
2,33,0.0,0.0,0.0,false
2,34,0.0,0.0,0.0,false
2,35,0.0,0.0,0.0,false
2,36,0.0,0.0,0.0,false
2,37,0.0,0.0,0.0,false
2,38,0.0,0.0,0.0,false
2,39,0.0,0.0,0.0,false
2,40,0.0,0.0,0.0,false
2,41,0.0,0.0,0.0,false
