x,y,mean_temperature_5_30AM,mean_temperature_7_00AM,mean_temperature_7_00PM,mean_temperature_6_30PM
0,0,188.21938,200.14497,214.1989,212.73102
1,0,188.52643,200.36887,214.07867,212.33095
2,0,188.5795,200.27722,213.04852,211.79303
3,0,188.1476,200.47784,214.26196,211.7066
4,0,187.59508,199.08226,214.33743,211.85237
5,0,187.03568,198.26433,214.85088,212.7134
6,0,187.78374,199.43558,214.7603,213.71959
7,0,188.67693,199.63104,215.08958,213.5796
8,0,189.30792,199.55482,214.4535,213.6427
9,0,189.50919,199.63446,214.30276,213.66064
10,0,188.99715,199.5448,214.41777,213.11833
11,0,188.46097,198.86703,214.83385,213.33209
12,0,188.00233,198.9918,214.15721,213.4011
13,0,188.56874,199.6132,213.92613,213.54755
14,0,188.98497,201.4144,215.0769,214.14456
15,0,189.21002,201.24655,215.74861,213.86617
16,0,188.8619,200.97435,215.40912,213.31862
17,0,188.71764,201.7636,215.39532,213.3055
18,0,187.69261,202.71698,216.0559,213.43759
19,0,187.02008,202.12762,216.04071,213.00783
20,0,187.27936,202.50644,216.12433,213.40724
21,0,186.76117,201.82526,216.47589,213.30481
22,0,186.78569,201.75996,215.72656,213.67877
23,0,186.46973,202.44951,215.59572,213.895
24,0,186.07327,202.27948,215.84535,213.829
25,0,185.48894,201.59964,215.89577,213.67914
26,0,185.27039,201.31114,215.74835,213.21321
27,0,185.50024,203.04857,216.15111,213.25546
28,0,186.17906,203.99017,215.37347,212.68549
29,0,186.8753,203.32437,215.42653,212.45245
30,0,186.63531,202.37735,215.66252,211.97198
31,0,186.57364,202.06577,214.99666,211.87486
32,0,186.64526,202.3404,214.96555,211.8131
33,0,187.10944,201.92383,214.74232,211.91809
34,0,187.08691,200.96869,214.44716,211.69446
35,0,187.4096,201.28526,214.37677,212.17456
36,0,188.49524,201.96588,214.95496,212.87706
37,0,188.35284,203.11694,215.29047,213.07317
38,0,187.56886,202.61858,215.91637,213.43224
39,0,187.46931,202.15192,216.23822,213.28114
